"hgnc" "ensembl"
"HSP90AB1" "ENSG00000096384"
"HSP90AB2P" "ENSG00000205940"
"HSP90AB3P" "ENSG00000183199"
"HSP90AB4P" "ENSG00000282100"
"HSP90AB5P" NA
"HSP90AB6P" "ENSG00000235137"
"HSP90AB7P" "ENSG00000235838"
"HSP90B1" "ENSG00000166598"
"HSP90B2P" "ENSG00000259706"
"HSP90B3P" "ENSG00000203914"
"HSPA1A" "ENSG00000204389"
"HSPA1B" "ENSG00000204388"
"HSPA1L" "ENSG00000204390"
"HSPA2" "ENSG00000126803"
"HSPA3" NA
"HSPA4" "ENSG00000170606"
"HSPA4L" "ENSG00000164070"
"HSPA5" "ENSG00000044574"
"HSPA6" "ENSG00000173110"
"HSPA7" "ENSG00000225217"
"HSPA8" "ENSG00000109971"
"HSPA8P1" "ENSG00000234176"
"HSPA8P2" NA
"HSPA8P3" "ENSG00000234788"
"HSPA8P4" "ENSG00000248610"
"HSPA8P5" "ENSG00000256356"
"HSPA8P6" "ENSG00000235864"
"HSPA8P7" "ENSG00000224773"
"HSPA8P8" "ENSG00000229091"
"HSPA8P9" "ENSG00000241478"
"HSPA8P10" NA
"HSPA8P11" "ENSG00000248159"
"HSPA8P12" NA
"HSPA8P13" "ENSG00000253425"
"HSPA8P14" "ENSG00000257539"
"HSPA8P15" "ENSG00000219395"
"HSPA8P16" "ENSG00000224059"
"HSPA8P17" "ENSG00000228557"
"HSPA8P18" "ENSG00000232953"
"HSPA8P19" "ENSG00000251614"
"HSPA8P20" "ENSG00000234564"
"HSPA9" "ENSG00000113013"
"HSPA9A" NA
"HSPA9P1" "ENSG00000226666"
"HSPA9P2" NA
"HSPA10" NA
"HSPA12A" "ENSG00000165868"
"HSPA12B" "ENSG00000132622"
"HSPA13" "ENSG00000155304"
"HSPA14" "ENSG00000187522"
"HSPB1" "ENSG00000106211"
"HSPB1P1" "ENSG00000236060"
"HSPB1P2" "ENSG00000230216"
"HSPB2" "ENSG00000170276"
"HSPB2-C11orf52" "ENSG00000254445"
"HSPB3" "ENSG00000169271"
"HSPB6" "ENSG00000004776"
"HSPB7" "ENSG00000173641"
"HSPB8" NA
"HSPB9" "ENSG00000260325"
"HSPB11" "ENSG00000081870"
"HSPBAP1" "ENSG00000169087"
"HSPBL1" NA
"HSPBP1" "ENSG00000133265"
"HSPCAL4" NA
"HSPCP2" NA
"HSPD1" "ENSG00000144381"
"HSPD1P1" "ENSG00000213430"
"HSPD1P2" "ENSG00000254543"
"HSPD1P3" "ENSG00000255128"
"HSPD1P4" "ENSG00000257576"
"HSPD1P5" "ENSG00000249193"
"HSPD1P6" "ENSG00000230067"
"HSPD1P7" "ENSG00000215005"
"HSPD1P8" "ENSG00000215357"
"HSPD1P9" "ENSG00000228036"
"HSPD1P10" "ENSG00000216990"
"HSPD1P11" "ENSG00000251348"
"HSPD1P12" "ENSG00000255964"
"HSPD1P13" NA
"HSPD1P14" "ENSG00000227000"
"HSPD1P15" "ENSG00000249557"
"HSPD1P16" "ENSG00000218792"
"HSPD1P17" NA
"HSPD1P18" "ENSG00000248351"
"HSPD1P19" NA
"HSPD1P20" NA
"HSPD1P21" "ENSG00000229900"
"HSPD1P22" NA
"HSPDP1" NA
"HSPDP4" NA
"HSPE1" "ENSG00000115541"
"HSPE1-MOB4" "ENSG00000270757"
"HSPE1P1" "ENSG00000234878"
"HSPE1P2" "ENSG00000258645"
"HSPE1P3" "ENSG00000259746"
"HSPE1P4" "ENSG00000258153"
"HSPE1P5" "ENSG00000261395"
"HSPE1P6" "ENSG00000232917"
"HSPE1P7" "ENSG00000270945"
"HSPE1P8" "ENSG00000217897"
"HSPE1P9" "ENSG00000232690"
"HSPE1P10" "ENSG00000249768"
"HSPE1P11" "ENSG00000187762"
"HSPE1P12" "ENSG00000235930"
"HSPE1P13" "ENSG00000225900"
"HSPE1P14" "ENSG00000271612"
"HSPE1P15" NA
"HSPE1P16" "ENSG00000237140"
"HSPE1P17" NA
"HSPE1P18" "ENSG00000255163"
"HSPE1P19" "ENSG00000271024"
"HSPE1P20" "ENSG00000257021"
"HSPE1P21" "ENSG00000238059"
"HSPE1P22" "ENSG00000237306"
"HSPE1P23" "ENSG00000250356"
"HSPE1P24" "ENSG00000225158"
"HSPE1P25" "ENSG00000232015"
"HSPE1P26" "ENSG00000220867"
"HSPE1P27" "ENSG00000235112"
"HSPE1P28" "ENSG00000230081"
"HSPG1" NA
"HSPG2" "ENSG00000142798"
"HSPH1" "ENSG00000120694"
"HSR1" NA
"HSST" NA
"HTATIP2" "ENSG00000109854"
"HTATSF1" "ENSG00000102241"
"HTATSF1P1" "ENSG00000223457"
"HTATSF1P2" "ENSG00000271361"
"HTC1" NA
"HTC2" NA
"HTD2" "ENSG00000255154"
"HTK" NA
"HTL" NA
"HTLVR" NA
"HTN1" "ENSG00000126550"
"HTN3" "ENSG00000205649"
"HTOR" NA
"HTR1A" "ENSG00000178394"
"HTR1B" "ENSG00000135312"
"HTR1C" NA
"HTR1D" "ENSG00000179546"
"HTR1DP1" "ENSG00000275811"
"HTR1E" "ENSG00000168830"
"HTR1F" "ENSG00000179097"
"HTR2A" "ENSG00000102468"
"HTR2A-AS1" "ENSG00000224517"
"HTR2B" "ENSG00000135914"
"HTR2C" "ENSG00000147246"
"HTR2C-IT1" NA
"HTR3" NA
"HTR3A" "ENSG00000166736"
"HTR3B" "ENSG00000149305"
"HTR3C" "ENSG00000178084"
"HTR3C2P" "ENSG00000233576"
"HTR3D" "ENSG00000186090"
"HTR3E" "ENSG00000186038"
"HTR3E-AS1" "ENSG00000238020"
"HTR4" "ENSG00000164270"
"HTR4-IT1" NA
"HTR5A" "ENSG00000157219"
"HTR5A-AS1" "ENSG00000220575"
"HTR5BP" "ENSG00000125631"
"HTR6" "ENSG00000158748"
"HTR7" "ENSG00000148680"
"HTR7P1" "ENSG00000183935"
"HTRA1" "ENSG00000166033"
"HTRA2" "ENSG00000115317"
"HTRA3" "ENSG00000170801"
"HTRA4" "ENSG00000169495"
"HTRL" NA
"HTT" "ENSG00000197386"
"HTT" NA
"HTT-AS" "ENSG00000251075"
"HTX1" NA
"HTX2" NA
"HUD" NA
"HULC" "ENSG00000251164"
"HUNK" "ENSG00000142149"
"HUNK-AS1" "ENSG00000237138"
"HUR" NA
"HUS1" "ENSG00000136273"
"HUS1B" "ENSG00000188996"
"HUWE1" "ENSG00000086758"
"HV1S" NA
"HVBS1" NA
"HVBS4" NA
"HVBS6" NA
"HVBS7" NA
"HVBS8" NA
"HVCN1" "ENSG00000122986"
"HVEB" NA
"HVEC" NA
"HY" NA
"HYAL1" "ENSG00000114378"
"HYAL2" "ENSG00000068001"
"HYAL3" "ENSG00000186792"
"HYAL4" "ENSG00000106302"
"HYAL6P" "ENSG00000228211"
"HYD2" NA
"HYDIN" "ENSG00000157423"
"HYDIN2" "ENSG00000276975"
"HYI" "ENSG00000178922"
"HYI-AS1" "ENSG00000229348"
"HYKK" "ENSG00000188266"
"HYKPP" NA
"HYLS1" "ENSG00000198331"
"HYMAI" "ENSG00000283122"
"HYOU1" "ENSG00000149428"
"HYP" NA
"HYPK" "ENSG00000242028"
"HYRC1" NA
"IAH1" "ENSG00000134330"
"IAPP" "ENSG00000121351"
"IARS1" "ENSG00000196305"
"IARS2" "ENSG00000067704"
"IARS2P1" "ENSG00000251563"
"IATPR" "ENSG00000233387"
"IBA57" "ENSG00000181873"
"IBA57-DT" "ENSG00000203684"
"IBD2" NA
"IBD3" NA
"IBD4" NA
"IBD5" NA
"IBD6" NA
"IBD7" NA
"IBD8" NA
"IBD9" NA
"IBGC1" NA
"IBM2" NA
"IBM3" NA
"IBP1" NA
"IBP2" NA
"IBSP" "ENSG00000029559"
"IBTK" "ENSG00000005700"
"IBTKP1" NA
"IC1" NA
"ICA1" "ENSG00000003147"
"ICA1L" "ENSG00000163596"
"ICAM1" "ENSG00000090339"
"ICAM2" "ENSG00000108622"
"ICAM3" "ENSG00000076662"
"ICAM4" "ENSG00000105371"
"ICAM5" "ENSG00000105376"
"ICCA" NA
"ICE1" "ENSG00000164151"
"ICE2" "ENSG00000128915"
"ICE2P1" "ENSG00000248880"
"ICE2P2" "ENSG00000242705"
"ICMT" "ENSG00000116237"
"ICOS" "ENSG00000163600"
"ICOSLG" "ENSG00000160223"
"ICR1" NA
"ICR2B" NA
"ICR3" NA
"ICR4" NA
"ICR5" NA
"ICS1" NA
"ID1" "ENSG00000125968"
"ID2" "ENSG00000115738"
"ID2-AS1" "ENSG00000235092"
"ID2B" NA
"ID3" "ENSG00000117318"
"ID4" "ENSG00000172201"
"IDDM2" NA
"IDDM3" NA
"IDDM4" NA
"IDDM5" NA
"IDDM6" NA
"IDDM7" NA
"IDDM8" NA
"IDDM9" NA
"IDDM10" NA
"IDDM11" NA
"IDDM12" NA
"IDDM13" NA
"IDDM14" NA
"IDDM15" NA
"IDDM16" NA
"IDDM17" NA
"IDDM18" NA
"IDE" "ENSG00000119912"
"IDH1" "ENSG00000138413"
"IDH1-AS1" "ENSG00000231908"
"IDH2" "ENSG00000182054"
"IDH2-DT" "ENSG00000259685"
"IDH3A" "ENSG00000166411"
"IDH3B" "ENSG00000101365"
"IDH3G" "ENSG00000067829"
"IDI1" "ENSG00000067064"
"IDI2" "ENSG00000148377"
"IDI2-AS1" "ENSG00000232656"
"IDNK" "ENSG00000148057"
"IDO" NA
"IDO1" "ENSG00000131203"
"IDO2" "ENSG00000188676"
"IDS" "ENSG00000010404"
"IDSP1" "ENSG00000176289"
"IDUA" "ENSG00000127415"
"IER2" "ENSG00000160888"
"IER3" "ENSG00000137331"
"IER3-AS1" "ENSG00000272273"
"IER3IP1" "ENSG00000134049"
"IER5" "ENSG00000162783"
"IER5L" "ENSG00000188483"
"IFFO1" "ENSG00000010295"
"IFFO2" "ENSG00000169991"
"IFI4" NA
"IFI6" "ENSG00000126709"
"IFI16" "ENSG00000163565"
"IFI17" NA
"IFI27" "ENSG00000165949"
"IFI27L1" "ENSG00000165948"
"IFI27L2" "ENSG00000119632"
"IFI30" "ENSG00000216490"
"IFI35" "ENSG00000068079"
"IFI44" "ENSG00000137965"
"IFI44L" "ENSG00000137959"
"IFI53" NA
"IFI54" NA
"IFI56" NA
"IFI56P" NA
"IFI75" NA
"IFIH1" "ENSG00000115267"
"IFIT1" "ENSG00000185745"
"IFIT1B" "ENSG00000204010"
"IFIT1P1" "ENSG00000215515"
"IFIT2" "ENSG00000119922"
"IFIT3" "ENSG00000119917"
"IFIT5" "ENSG00000152778"
"IFIT6P" "ENSG00000224289"
"IFITM1" "ENSG00000185885"
"IFITM2" "ENSG00000185201"
"IFITM3" "ENSG00000142089"
"IFITM4P" "ENSG00000235821"
"IFITM5" "ENSG00000206013"
"IFITM8P" "ENSG00000215096"
"IFITM9P" "ENSG00000213275"
"IFITM10" "ENSG00000244242"
"IFN1@" NA
"IFNA" NA
"IFNA1" "ENSG00000197919"
"IFNA2" "ENSG00000188379"
"IFNA4" "ENSG00000236637"
"IFNA5" "ENSG00000147873"
"IFNA6" "ENSG00000120235"
"IFNA7" "ENSG00000214042"
"IFNA8" "ENSG00000120242"
"IFNA10" "ENSG00000186803"
"IFNA11P" "ENSG00000231195"
"IFNA12P" "ENSG00000235108"
"IFNA13" "ENSG00000233816"
"IFNA14" "ENSG00000228083"
"IFNA16" "ENSG00000147885"
"IFNA17" "ENSG00000234829"
"IFNA20P" "ENSG00000226393"
"IFNA21" "ENSG00000137080"
"IFNA22P" "ENSG00000224416"
"IFNAI1" NA
"IFNAR1" "ENSG00000142166"
"IFNAR2" "ENSG00000159110"
"IFNB1" "ENSG00000171855"
"IFNB2" NA
"IFNB3" NA
"IFNBR" NA
"IFNE" "ENSG00000184995"
"IFNG" "ENSG00000111537"
"IFNG-AS1" "ENSG00000255733"
"IFNGR1" "ENSG00000027697"
"IFNGR2" "ENSG00000159128"
"IFNGT1" NA
"IFNK" "ENSG00000147896"
"IFNL1" "ENSG00000182393"
"IFNL2" "ENSG00000183709"
"IFNL3" "ENSG00000197110"
"IFNL3P1" "ENSG00000268510"
"IFNL4" "ENSG00000272395"
"IFNL4P1" "ENSG00000272311"
"IFNLR1" "ENSG00000185436"
"IFNNP1" "ENSG00000230208"
"IFNP23" NA
"IFNP24" NA
"IFNR" NA
"IFNW1" "ENSG00000177047"
"IFNWP2" "ENSG00000237691"
"IFNWP4" "ENSG00000225027"
"IFNWP5" "ENSG00000232138"
"IFNWP9" "ENSG00000226597"
"IFNWP15" "ENSG00000232281"
"IFNWP18" "ENSG00000223684"
"IFNWP19" "ENSG00000238271"
"IFRD1" "ENSG00000006652"
"IFRD2" "ENSG00000214706"
"IFT20" "ENSG00000109083"
"IFT22" "ENSG00000128581"
"IFT27" "ENSG00000100360"
"IFT43" "ENSG00000119650"
"IFT46" "ENSG00000118096"
"IFT52" "ENSG00000101052"
"IFT57" "ENSG00000114446"
"IFT74" "ENSG00000096872"
"IFT74-AS1" "ENSG00000234676"
"IFT80" "ENSG00000068885"
"IFT81" "ENSG00000122970"
"IFT88" "ENSG00000032742"
"IFT122" "ENSG00000163913"
"IFT140" "ENSG00000187535"
"IFT172" "ENSG00000138002"
"IGA" NA
"IGAD1" NA
"IGB" NA
"IGBP1" "ENSG00000089289"
"IGBP1-AS1" "ENSG00000203588"
"IGBP1-AS2" "ENSG00000220925"
"IGBP1P1" "ENSG00000226677"
"IGBP1P2" NA
"IGBP1P3" "ENSG00000231552"
"IGBP1P4" "ENSG00000250325"
"IGBP1P5" "ENSG00000250858"
"IGDCC3" "ENSG00000174498"
"IGDCC4" "ENSG00000103742"
"IGER" NA
"IGES" NA
"IGF1" "ENSG00000017427"
"IGF1R" "ENSG00000140443"
"IGF2" "ENSG00000167244"
"IGF2-AS" "ENSG00000099869"
"IGF2BP1" "ENSG00000159217"
"IGF2BP2" "ENSG00000073792"
"IGF2BP2-AS1" "ENSG00000163915"
"IGF2BP3" "ENSG00000136231"
"IGF2R" "ENSG00000197081"
"IGFALS" "ENSG00000099769"
"IGFBP1" "ENSG00000146678"
"IGFBP2" "ENSG00000115457"
"IGFBP3" "ENSG00000146674"
"IGFBP4" "ENSG00000141753"
"IGFBP5" "ENSG00000115461"
"IGFBP6" "ENSG00000167779"
"IGFBP7" "ENSG00000163453"
"IGFBP7-AS1" "ENSG00000245067"
"IGFBP10" NA
"IGFBPL1" "ENSG00000137142"
"IGFL1" "ENSG00000188293"
"IGFL1P1" "ENSG00000268879"
"IGFL1P2" "ENSG00000268238"
"IGFL2" "ENSG00000204866"
"IGFL2-AS1" "ENSG00000268621"
"IGFL3" "ENSG00000188624"
"IGFL4" NA
"IGFLR1" "ENSG00000126246"
"IGFN1" "ENSG00000163395"
"IGH" NA
"IGHA1" "ENSG00000211895"
"IGHA2" "ENSG00000211890"
"IGHD" "ENSG00000211898"
"IGHD@" NA
"IGHD1-1" "ENSG00000236170"
"IGHD1-7" "ENSG00000237197"
"IGHD1-14" "ENSG00000227108"
"IGHD1-20" "ENSG00000237020"
"IGHD1-26" "ENSG00000211907"
"IGHD1OR15-1A" "ENSG00000271336"
"IGHD1OR15-1B" "ENSG00000270185"
"IGHD2-2" "ENSG00000211931"
"IGHD2-8" "ENSG00000211925"
"IGHD2-15" "ENSG00000211918"
"IGHD2-21" "ENSG00000211912"
"IGHD2OR15-2A" "ENSG00000282599"
"IGHD2OR15-2B" "ENSG00000282268"
"IGHD3-3" "ENSG00000211930"
"IGHD3-9" "ENSG00000211924"
"IGHD3-10" "ENSG00000211923"
"IGHD3-16" "ENSG00000211917"
"IGHD3-22" "ENSG00000211911"
"IGHD3OR15-3A" "ENSG00000282520"
"IGHD3OR15-3B" "ENSG00000282089"
"IGHD4-4" "ENSG00000233655"
"IGHD4-11" "ENSG00000232543"
"IGHD4-17" "ENSG00000227800"
"IGHD4-23" "ENSG00000227196"
"IGHD4OR15-4A" "ENSG00000271317"
"IGHD4OR15-4B" "ENSG00000270451"
"IGHD5-5" "ENSG00000211928"
"IGHD5-12" "ENSG00000211921"
"IGHD5-18" "ENSG00000211915"
"IGHD5-24" "ENSG00000211909"
"IGHD5OR15-5A" "ENSG00000270961"
"IGHD5OR15-5B" "ENSG00000270824"
"IGHD6-6" "ENSG00000228131"
"IGHD6-13" "ENSG00000211920"
"IGHD6-19" "ENSG00000211914"
"IGHD6-25" "ENSG00000225825"
"IGHD7-27" "ENSG00000236597"
"IGHDOR15@" NA
"IGHDY1" NA
"IGHDY2" NA
"IGHE" "ENSG00000211891"
"IGHEP1" "ENSG00000253692"
"IGHEP2" "ENSG00000254017"
"IGHG1" "ENSG00000211896"
"IGHG2" "ENSG00000211893"
"IGHG3" "ENSG00000211897"
"IGHG4" "ENSG00000211892"
"IGHGP" "ENSG00000253755"
"IGHJ" NA
"IGHJ@" NA
"IGHJ1" "ENSG00000211905"
"IGHJ1P" "ENSG00000227335"
"IGHJ2" "ENSG00000211904"
"IGHJ2P" "ENSG00000237547"
"IGHJ3" "ENSG00000242887"
"IGHJ3P" "ENSG00000237111"
"IGHJ4" "ENSG00000240041"
"IGHJ5" "ENSG00000242472"
"IGHJ6" "ENSG00000211900"
"IGHM" "ENSG00000211899"
"IGHMBP2" "ENSG00000132740"
"IGHR" NA
"IGHV" NA
"IGHV@" NA
"IGHV1-2" "ENSG00000211934"
"IGHV1-3" "ENSG00000211935"
"IGHV1-8" NA
"IGHV1-12" "ENSG00000254174"
"IGHV1-14" "ENSG00000253709"
"IGHV1-17" "ENSG00000254046"
"IGHV1-18" "ENSG00000211945"
"IGHV1-24" "ENSG00000211950"
"IGHV1-38-4" NA
"IGHV1-45" "ENSG00000211961"
"IGHV1-46" "ENSG00000211962"
"IGHV1-58" "ENSG00000211968"
"IGHV1-67" "ENSG00000253274"
"IGHV1-68" "ENSG00000253703"
"IGHV1-69" "ENSG00000211973"
"IGHV1-69-2" "ENSG00000281990"
"IGHV1-69D" "ENSG00000280411"
"IGHV1-E" NA
"IGHV1OR15-1" "ENSG00000270505"
"IGHV1OR15-2" "ENSG00000259337"
"IGHV1OR15-3" "ENSG00000271288"
"IGHV1OR15-4" "ENSG00000270356"
"IGHV1OR15-5" NA
"IGHV1OR15-6" "ENSG00000270685"
"IGHV1OR15-9" "ENSG00000188403"
"IGHV1OR16-1" "ENSG00000261704"
"IGHV1OR16-2" "ENSG00000259852"
"IGHV1OR16-3" "ENSG00000260048"
"IGHV1OR16-4" "ENSG00000259997"
"IGHV1OR21-1" "ENSG00000277282"
"IGHV2-5" "ENSG00000211937"
"IGHV2-10" NA
"IGHV2-26" "ENSG00000211951"
"IGHV2-70" "ENSG00000274576"
"IGHV2-70D" "ENSG00000211974"
"IGHV2@" NA
"IGHV2OR16-5" "ENSG00000259303"
"IGHV3-6" "ENSG00000253763"
"IGHV3-7" "ENSG00000211938"
"IGHV3-9" NA
"IGHV3-11" "ENSG00000211941"
"IGHV3-13" "ENSG00000211942"
"IGHV3-15" "ENSG00000211943"
"IGHV3-16" "ENSG00000211944"
"IGHV3-19" "ENSG00000253883"
"IGHV3-20" "ENSG00000211946"
"IGHV3-21" "ENSG00000211947"
"IGHV3-22" "ENSG00000253957"
"IGHV3-23" "ENSG00000211949"
"IGHV3-25" "ENSG00000253441"
"IGHV3-29" "ENSG00000270474"
"IGHV3-30" "ENSG00000270550"
"IGHV3-30-2" "ENSG00000253587"
"IGHV3-30-3" NA
"IGHV3-30-5" NA
"IGHV3-32" "ENSG00000254289"
"IGHV3-33" "ENSG00000211955"
"IGHV3-33-2" "ENSG00000253440"
"IGHV3-35" "ENSG00000211957"
"IGHV3-36" "ENSG00000253240"
"IGHV3-37" "ENSG00000253359"
"IGHV3-38" "ENSG00000211958"
"IGHV3-38-3" NA
"IGHV3-41" "ENSG00000278473"
"IGHV3-42" "ENSG00000254228"
"IGHV3-43" "ENSG00000232216"
"IGHV3-43D" NA
"IGHV3-47" "ENSG00000229092"
"IGHV3-48" "ENSG00000211964"
"IGHV3-49" "ENSG00000211965"
"IGHV3-50" "ENSG00000253241"
"IGHV3-52" "ENSG00000253545"
"IGHV3-53" "ENSG00000211967"
"IGHV3-54" "ENSG00000275475"
"IGHV3-57" "ENSG00000253759"
"IGHV3-60" "ENSG00000253742"
"IGHV3-62" "ENSG00000253132"
"IGHV3-63" "ENSG00000253936"
"IGHV3-64" "ENSG00000223648"
"IGHV3-64D" "ENSG00000282639"
"IGHV3-65" "ENSG00000253209"
"IGHV3-66" "ENSG00000211972"
"IGHV3-69-1" "ENSG00000282600"
"IGHV3-71" "ENSG00000254056"
"IGHV3-72" "ENSG00000225698"
"IGHV3-73" "ENSG00000211976"
"IGHV3-74" "ENSG00000224650"
"IGHV3-75" "ENSG00000254176"
"IGHV3-76" "ENSG00000253247"
"IGHV3-79" "ENSG00000275747"
"IGHV3-G" NA
"IGHV3@" NA
"IGHV3OR15-7" "ENSG00000259490"
"IGHV3OR16-6" "ENSG00000270864"
"IGHV3OR16-7" "ENSG00000271620"
"IGHV3OR16-8" "ENSG00000271130"
"IGHV3OR16-9" "ENSG00000270472"
"IGHV3OR16-10" "ENSG00000233732"
"IGHV3OR16-11" "ENSG00000270318"
"IGHV3OR16-12" "ENSG00000270467"
"IGHV3OR16-13" "ENSG00000271178"
"IGHV3OR16-14" NA
"IGHV3OR16-15" "ENSG00000261834"
"IGHV3OR16-16" "ENSG00000259842"
"IGHV4-4" "ENSG00000276775"
"IGHV4-28" "ENSG00000211952"
"IGHV4-30-1" NA
"IGHV4-30-2" NA
"IGHV4-30-4" NA
"IGHV4-31" "ENSG00000231475"
"IGHV4-34" "ENSG00000211956"
"IGHV4-38-2" NA
"IGHV4-39" "ENSG00000211959"
"IGHV4-55" "ENSG00000254395"
"IGHV4-59" "ENSG00000224373"
"IGHV4-61" "ENSG00000211970"
"IGHV4-80" "ENSG00000283906"
"IGHV4OR15-8" "ENSG00000259261"
"IGHV5-10-1" "ENSG00000282651"
"IGHV5-51" "ENSG00000211966"
"IGHV5-78" "ENSG00000211978"
"IGHV6-1" "ENSG00000211933"
"IGHV7-4-1" "ENSG00000282122"
"IGHV7-27" "ENSG00000254326"
"IGHV7-34-1" "ENSG00000253325"
"IGHV7-40" "ENSG00000253467"
"IGHV7-56" "ENSG00000253131"
"IGHV7-77" NA
"IGHV7-81" "ENSG00000211979"
"IGHV8-51-1" "ENSG00000254167"
"IGHVII-1-1" "ENSG00000254279"
"IGHVII-15-1" "ENSG00000253458"
"IGHVII-20-1" NA
"IGHVII-22-1" "ENSG00000253345"
"IGHVII-26-2" "ENSG00000253482"
"IGHVII-28-1" "ENSG00000253149"
"IGHVII-30-1" "ENSG00000253491"
"IGHVII-30-21" "ENSG00000283607"
"IGHVII-31-1" NA
"IGHVII-33-1" "ENSG00000254203"
"IGHVII-40-1" "ENSG00000253294"
"IGHVII-43-1" "ENSG00000283195"
"IGHVII-44-2" "ENSG00000253895"
"IGHVII-46-1" "ENSG00000253808"
"IGHVII-49-1" "ENSG00000253386"
"IGHVII-51-2" "ENSG00000253941"
"IGHVII-53-1" "ENSG00000253714"
"IGHVII-60-1" "ENSG00000254329"
"IGHVII-62-1" "ENSG00000253747"
"IGHVII-65-1" "ENSG00000253169"
"IGHVII-67-1" "ENSG00000253820"
"IGHVII-74-1" "ENSG00000254134"
"IGHVII-78-1" "ENSG00000253674"
"IGHVIII-2-1" "ENSG00000253780"
"IGHVIII-5-1" "ENSG00000253387"
"IGHVIII-5-2" "ENSG00000254053"
"IGHVIII-11-1" "ENSG00000254215"
"IGHVIII-13-1" "ENSG00000253412"
"IGHVIII-16-1" "ENSG00000283948"
"IGHVIII-22-2" "ENSG00000254045"
"IGHVIII-25-1" "ENSG00000253367"
"IGHVIII-26-1" "ENSG00000253462"
"IGHVIII-38-1" "ENSG00000253989"
"IGHVIII-44" "ENSG00000283562"
"IGHVIII-47-1" "ENSG00000253862"
"IGHVIII-67-2" "ENSG00000254036"
"IGHVIII-67-3" "ENSG00000253635"
"IGHVIII-67-4" "ENSG00000254052"
"IGHVIII-76-1" "ENSG00000253310"
"IGHVIII-82" "ENSG00000253303"
"IGHVIV-44-1" "ENSG00000253465"
"IGHVOR15@" NA
"IGHVOR16@" NA
"IGIP" "ENSG00000182700"
"IGK" NA
"IGKC" "ENSG00000211592"
"IGKDEL" NA
"IGKJ@" NA
"IGKJ1" "ENSG00000211597"
"IGKJ2" "ENSG00000211596"
"IGKJ3" "ENSG00000211595"
"IGKJ4" "ENSG00000211594"
"IGKJ5" "ENSG00000211593"
"IGKJRB1" NA
"IGKJRBP1" NA
"IGKJRBP2" NA
"IGKV" NA
"IGKV@" NA
"IGKV1" NA
"IGKV1-5" "ENSG00000243466"
"IGKV1-6" "ENSG00000239855"
"IGKV1-8" "ENSG00000240671"
"IGKV1-9" "ENSG00000241755"
"IGKV1-12" "ENSG00000243290"
"IGKV1-13" "ENSG00000253497"
"IGKV1-16" "ENSG00000240864"
"IGKV1-17" "ENSG00000240382"
"IGKV1-22" "ENSG00000253578"
"IGKV1-27" "ENSG00000244575"
"IGKV1-32" "ENSG00000253870"
"IGKV1-33" "ENSG00000242076"
"IGKV1-35" "ENSG00000253461"
"IGKV1-37" "ENSG00000239862"
"IGKV1-39" "ENSG00000242371"
"IGKV1@" NA
"IGKV1D-8" "ENSG00000239819"
"IGKV1D-12" "ENSG00000278857"
"IGKV1D-13" "ENSG00000276566"
"IGKV1D-16" "ENSG00000241244"
"IGKV1D-17" "ENSG00000242766"
"IGKV1D-22" "ENSG00000253365"
"IGKV1D-27" "ENSG00000224607"
"IGKV1D-32" "ENSG00000253191"
"IGKV1D-33" "ENSG00000239975"
"IGKV1D-35" "ENSG00000232747"
"IGKV1D-37" "ENSG00000250036"
"IGKV1D-39" "ENSG00000251546"
"IGKV1D-42" "ENSG00000211633"
"IGKV1D-43" "ENSG00000242580"
"IGKV1OR-2" "ENSG00000156755"
"IGKV1OR-3" "ENSG00000204776"
"IGKV1OR-4" NA
"IGKV1OR1-1" "ENSG00000276674"
"IGKV1OR2-0" NA
"IGKV1OR2-1" "ENSG00000235235"
"IGKV1OR2-2" "ENSG00000223816"
"IGKV1OR2-3" "ENSG00000204670"
"IGKV1OR2-6" "ENSG00000271569"
"IGKV1OR2-9" "ENSG00000271351"
"IGKV1OR2-11" "ENSG00000270187"
"IGKV1OR2-108" "ENSG00000231292"
"IGKV1OR2-118" "ENSG00000270999"
"IGKV1OR9-1" "ENSG00000204780"
"IGKV1OR9-2" "ENSG00000225380"
"IGKV1OR10-1" "ENSG00000237592"
"IGKV1OR15-118" NA
"IGKV1OR22-1" "ENSG00000253481"
"IGKV1OR22-5" "ENSG00000230481"
"IGKV1OR22-5A" NA
"IGKV1ORY-1" NA
"IGKV2" NA
"IGKV2-4" "ENSG00000253435"
"IGKV2-10" "ENSG00000253278"
"IGKV2-14" "ENSG00000253265"
"IGKV2-18" "ENSG00000254157"
"IGKV2-19" "ENSG00000253732"
"IGKV2-23" "ENSG00000253625"
"IGKV2-24" "ENSG00000241294"
"IGKV2-26" "ENSG00000254098"
"IGKV2-28" "ENSG00000244116"
"IGKV2-29" "ENSG00000253998"
"IGKV2-30" "ENSG00000243238"
"IGKV2-36" "ENSG00000253487"
"IGKV2-38" "ENSG00000253592"
"IGKV2-40" "ENSG00000273962"
"IGKV2@" NA
"IGKV2D-10" "ENSG00000253906"
"IGKV2D-14" "ENSG00000254292"
"IGKV2D-18" "ENSG00000254220"
"IGKV2D-19" "ENSG00000253765"
"IGKV2D-23" "ENSG00000254345"
"IGKV2D-24" "ENSG00000241566"
"IGKV2D-26" "ENSG00000211623"
"IGKV2D-28" "ENSG00000242534"
"IGKV2D-29" "ENSG00000243264"
"IGKV2D-30" "ENSG00000239571"
